,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,
"File MORT/7-1: Life expectancy at birth (both sexes combined) by region, subregion and country, 1950-2100 (years)",,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/MORT/F07-1,,,,,,,,,,,,,,,,,,,,
"ý August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Life expectancy at birth for both sexes combined (years),,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
43,Estimates,Uganda,,800,Country/Area,910,40.13,42.91,45.80,48.55,49.56,49.80,49.81,47.53,44.52,44.32,49.02,54.41,59.46,62.76
44,Estimates,United Republic of Tanzania,3,834,Country/Area,910,41.01,42.93,44.22,45.85,47.77,49.81,50.48,50.70,49.67,49.54,52.66,56.29,60.91,64.84
45,Estimates,Zambia,,894,Country/Area,910,43.24,45.54,47.68,49.02,51.19,52.50,52.73,51.85,46.36,43.36,46.01,51.75,59.29,63.26
46,Estimates,Zimbabwe,,716,Country/Area,910,49.68,51.86,54.16,56.23,57.45,58.48,60.76,60.65,54.44,46.97,43.74,45.02,56.71,60.83
47,Estimates,Middle Africa,,911,Subregion,947,37.76,39.37,40.91,42.67,44.81,46.31,47.85,48.86,49.26,48.56,50.55,53.88,56.99,59.36
48,Estimates,Angola,,24,Country/Area,911,35.85,36.89,38.27,40.00,41.82,43.52,44.68,45.34,45.24,45.65,48.05,52.69,57.74,60.54
49,Estimates,Cameroon,,120,Country/Area,911,38.53,40.62,42.99,45.24,47.85,50.46,52.40,53.67,52.60,50.82,51.78,53.97,56.28,58.77
50,Estimates,Central African Republic,,140,Country/Area,911,32.74,35.12,37.45,40.30,44.26,47.95,49.76,49.64,48.12,45.04,44.10,46.00,48.91,52.67
51,Estimates,Chad,,148,Country/Area,911,36.06,37.36,38.70,40.14,42.56,44.08,45.46,46.73,47.18,47.65,47.95,49.51,52.27,53.80
52,Estimates,Congo,,178,Country/Area,911,40.43,44.04,47.21,49.64,51.69,53.40,54.83,55.23,53.72,51.91,53.35,58.18,61.66,64.16
53,Estimates,Democratic Republic of the Congo,,180,Country/Area,911,39.06,40.55,41.63,42.99,44.77,45.63,47.13,48.25,49.59,48.89,51.84,55.48,58.10,60.21
54,Estimates,Equatorial Guinea,,226,Country/Area,911,33.96,35.68,37.38,39.03,40.68,42.31,45.97,47.70,49.93,52.34,53.99,54.90,56.48,58.25
55,Estimates,Gabon,,266,Country/Area,911,36.82,39.04,40.67,45.02,49.20,53.23,57.16,60.55,60.66,59.40,57.62,59.58,63.35,66.06
56,Estimates,Sao Tome and Principe,,678,Country/Area,911,46.73,49.03,51.73,54.04,56.70,59.26,60.01,58.69,58.25,59.90,63.06,66.14,68.49,70.05
57,Estimates,Southern Africa,,913,Subregion,947,44.61,47.23,49.18,51.24,53.84,56.72,59.23,62.05,62.72,58.21,53.04,54.00,60.34,63.28
58,Estimates,Botswana,,72,Country/Area,913,44.90,47.83,50.42,52.65,55.08,57.92,60.12,61.16,56.48,52.68,50.08,55.87,64.41,69.10
59,Estimates,Eswatini,,748,Country/Area,913,40.36,42.59,44.54,46.63,49.87,53.58,57.61,61.18,60.90,52.64,43.63,43.85,50.67,59.31
60,Estimates,Lesotho,,426,Country/Area,913,45.00,47.18,48.50,49.66,51.83,55.04,58.11,59.81,58.58,52.00,44.22,43.07,48.15,53.51
61,Estimates,Namibia,,516,Country/Area,913,40.70,44.53,48.32,51.40,53.88,56.69,58.03,60.69,61.19,55.04,50.64,53.01,60.39,63.02
62,Estimates,South Africa,,710,Country/Area,913,44.83,47.42,49.31,51.37,53.99,56.85,59.36,62.26,63.25,58.97,53.90,54.70,60.95,63.62
63,Estimates,Western Africa,,914,Subregion,947,33.47,35.49,37.65,39.60,41.85,44.44,46.73,47.73,48.27,48.42,49.54,52.56,55.06,57.32
64,Estimates,Benin,,204,Country/Area,914,33.71,36.14,38.41,40.87,43.48,46.22,48.30,51.92,55.14,54.96,56.18,58.56,59.93,61.30
65,Estimates,Burkina Faso,,854,Country/Area,914,30.94,33.29,35.59,38.04,40.27,43.39,48.39,49.48,49.33,49.86,51.61,55.27,58.71,60.92
66,Estimates,Cabo Verde,,132,Country/Area,914,47.57,48.29,49.00,52.04,54.90,60.21,62.11,63.84,65.50,67.11,69.92,70.65,71.53,72.70
67,Estimates,C_te d'Ivoire,,384,Country/Area,914,30.17,33.91,38.27,41.95,46.26,49.73,52.06,53.32,52.66,50.44,49.47,51.42,54.63,57.25
68,Estimates,Gambia,,270,Country/Area,914,30.25,31.55,32.83,35.83,40.10,44.27,48.24,51.38,52.90,54.95,56.94,58.85,60.32,61.54
