,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,
"File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/MORT/F01-1,,,,,,,,,,,,,,,,,,,,
"ý August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)",,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
24,Estimates,Sustainable Development Goal (SDG) regions,p,1828,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
25,Estimates,SUB-SAHARAN AFRICA,,947,SDG region,1828,   178,   165,   154,   143,   133,   124,   116,   112,   109,   101,   88,   73,   61,   51
26,Estimates,Eastern Africa,,910,Subregion,947,   171,   159,   146,   137,   129,   123,   119,   113,   110,   95,   78,   63,   50,   42
27,Estimates,Burundi,,108,Country/Area,910,   166,   157,   149,   140,   136,   132,   117,   104,   111,   103,   88,   70,   52,   42
28,Estimates,Comoros,,174,Country/Area,910,   192,   180,   166,   153,   139,   127,   109,   93,   81,   74,   73,   67,   58,   53
29,Estimates,Djibouti,,262,Country/Area,910,   154,   143,   131,   120,   104,   96,   87,   81,   76,   72,   68,   63,   56,   33
30,Estimates,Eritrea,,232,Country/Area,910,   199,   181,   160,   148,   140,   132,   121,   112,   94,   71,   59,   52,   45,   35
31,Estimates,Ethiopia,,231,Country/Area,910,   199,   181,   160,   148,   140,   136,   140,   126,   114,   97,   78,   60,   46,   37
32,Estimates,Kenya,,404,Country/Area,910,   142,   134,   121,   109,   97,   86,   76,   74,   74,   71,   63,   51,   42,   36
33,Estimates,Madagascar,,450,Country/Area,910,   183,   169,   156,   145,   134,   122,   109,   108,   100,   78,   58,   45,   37,   29
34,Estimates,Malawi,,454,Country/Area,910,   178,   176,   173,   169,   162,   155,   148,   141,   127,   106,   87,   68,   53,   41
35,Estimates,Mauritius,1,480,Country/Area,910,   103,   74,   61,   67,   61,   38,   26,   23,   18,   20,   13,   13,   12,   11
36,Estimates,Mayotte,2,175,Country/Area,910,   143,   109,   82,   61,   46,   34,   25,   19,   14,   10,   8,   6,   4,   4
37,Estimates,Mozambique,,508,Country/Area,910,   164,   158,   152,   153,   153,   152,   150,   145,   138,   121,   99,   79,   63,   54
38,Estimates,R¨¦union,2,638,Country/Area,910,   142,   109,   82,   61,   46,   34,   25,   19,   14,   10,   8,   6,   4,   3
39,Estimates,Rwanda,,646,Country/Area,910,   150,   145,   140,   136,   135,   130,   114,   120,   196,   122,   94,   63,   39,   29
40,Estimates,Seychelles,,690,Country/Area,910,   81,   76,   70,   60,   47,   32,   21,   16,   13,   12,   12,   12,   12,   11
41,Estimates,Somalia,,706,Country/Area,910,   200,   186,   173,   160,   147,   137,   128,   123,   129,   105,   97,   90,   79,   69
42,Estimates,South Sudan,,728,Country/Area,910,   248,   225,   209,   193,   181,   169,   164,   150,   130,   114,   101,   79,   66,   64
43,Estimates,Uganda,,800,Country/Area,910,   150,   141,   131,   120,   117,   116,   117,   116,   105,   94,   80,   71,   59,   46
44,Estimates,United Republic of Tanzania,3,834,Country/Area,910,   148,   142,   138,   132,   125,   116,   113,   109,   105,   94,   71,   55,   47,   41
45,Estimates,Zambia,,894,Country/Area,910,   138,   129,   121,   116,   107,   100,   105,   116,   117,   109,   88,   65,   53,   46
46,Estimates,Zimbabwe,,716,Country/Area,910,   114,   103,   91,   80,   76,   75,   65,   55,   62,   69,   65,   63,   51,   39
47,Estimates,Middle Africa,,911,Subregion,947,   171,   163,   155,   147,   136,   129,   122,   117,   114,   115,   104,   88,   74,   64
48,Estimates,Angola,,24,Country/Area,911,   193,   188,   181,   172,   162,   155,   149,   145,   145,   142,   129,   104,   78,   61
49,Estimates,Cameroon,,120,Country/Area,911,   155,   149,   141,   133,   123,   112,   104,   100,   103,   106,   92,   80,   71,   61
50,Estimates,Central African Republic,,140,Country/Area,911,   170,   164,   158,   150,   137,   123,   113,   111,   111,   110,   105,   100,   90,   82
